Name,nonclutch_min,clutch_min
Julius Randle,5730,291
Damian Lillard,5645,282
Buddy Hield,5557,264
Devin Booker,5538,225
Nikola Jokic,5521,316
Russell Westbrook,5507,307
Rudy Gobert,5499,208
Harrison Barnes,5481,273
Jayson Tatum,5478,325
Mikal Bridges,5421,224
Domantas Sabonis,5376,327
Chris Paul,5298,299
Duncan Robinson,5275,165
Bojan Bogdanovic,5260,186
Terry Rozier,5240,256
Royce O'Neale,5207,201
Tobias Harris,5203,262
DeMar DeRozan,5169,333
Trae Young,5168,219
Donovan Mitchell,5099,198
Bradley Beal,5087,266
Robert Covington,5052,267
Nikola Vucevic,5048,232
Miles Bridges,5040,211
James Harden,5036,229
Zach LaVine,5027,250
Andrew Wiggins,5026,235
Dorian Finney-Smith,4990,245
RJ Barrett,4987,195
Brandon Ingram,4940,258
Bam Adebayo,4936,216
Jrue Holiday,4894,224
Luka Doncic,4894,242
Tim Hardaway Jr.,4853,218
Khris Middleton,4848,145
Fred VanVleet,4837,191
Giannis Antetokounmpo,4805,132
CJ McCollum,4797,207
Ja Morant,4793,212
Joe Ingles,4773,138
Devonte' Graham,4737,231
Pascal Siakam,4713,175
Dennis Schroder,4712,247
Kyle Lowry,4711,189
Justin Holiday,4665,276
De'Aaron Fox,4664,235
Dejounte Murray,4652,268
Eric Bledsoe,4635,134
P.J. Tucker,4596,168
LeBron James,4593,224
Norman Powell,4592,175
Lonzo Ball,4578,258
Jonas Valanciunas,4546,161
Darius Garland,4545,165
Kevin Huerter,4541,188
Ricky Rubio,4528,230
Jarrett Allen,4526,207
Shai Gilgeous-Alexander,4517,219
Kelly Oubre Jr.,4503,218
Kentavious Caldwell-Pope,4497,210
Kyle Kuzma,4490,181
Jaylen Brown,4481,277
Will Barton,4481,222
Marcus Smart,4472,244
Dillon Brooks,4470,194
Joe Harris,4433,254
Carmelo Anthony,4426,222
Collin Sexton,4406,168
Jordan Clarkson,4399,97
Jerami Grant,4338,180
Jimmy Butler,4310,171
Gordon Hayward,4302,194
Aaron Gordon,4283,172
Evan Fournier,4236,159
Malcolm Brogdon,4211,275
Jae Crowder,4199,223
Seth Curry,4178,217
Myles Turner,4158,255
Coby White,4098,145
P.J. Washington,4092,171
John Collins,4090,165
Danny Green,4089,177
Clint Capela,4071,153
OG Anunoby,4070,149
Steven Adams,4062,227
Tyler Herro,4055,170
Anthony Davis,4052,197
Draymond Green,4046,176
Patty Mills,4043,233
Paul George,4034,129
Gary Trent Jr.,4018,203
Montrezl Harrell,4007,161
Josh Richardson,3976,186
Josh Hart,3894,193
Deandre Ayton,3885,203
Cedi Osman,3875,129
Terrence Ross,3865,177
Alec Burks,3814,194
Pat Connaughton,3812,108
Kyle Anderson,3795,160
Marcus Morris Sr.,3788,163
Garrett Temple,3786,172
Joel Embiid,3766,190
Kristaps Porzingis,3762,170
Karl-Anthony Towns,3760,186
Ivica Zubac,3755,56
Delon Wright,3737,147
Jalen Brunson,3711,154
Ben Simmons,3707,187
Mike Conley,3686,137
Jakob Poeltl,3683,183
Derrick White,3680,190
Cory Joseph,3679,122
Brook Lopez,3654,93
Christian Wood,3644,118
Monte Morris,3634,187
Bruce Brown,3626,123
Maxi Kleber,3620,171
Gary Harris,3618,172
Kemba Walker,3618,149
Bogdan Bogdanovic,3594,168
Darius Bazley,3574,127
Wendell Carter Jr.,3571,146
Andre Drummond,3569,173
Bobby Portis,3556,71
Lauri Markkanen,3554,131
Daniel Theis,3541,166
Lou Williams,3538,136
Tomas Satoransky,3535,111
T.J. McConnell,3527,176
Danilo Gallinari,3526,160
Kendrick Nunn,3523,89
Richaun Holmes,3519,211
Doug McDermott,3514,117
Al Horford,3511,165
Jeff Green,3494,130
Kawhi Leonard,3489,132
Caris LeVert,3476,189
Cameron Johnson,3474,151
Landry Shamet,3465,112
Thaddeus Young,3460,107
Kelly Olynyk,3446,81
Jamal Murray,3411,196
D'Angelo Russell,3406,165
Bryn Forbes,3370,116
Stephen Curry,3366,141
Malik Beasley,3333,134
Kent Bazemore,3312,108
Anthony Edwards,3309,146
Luguentz Dort,3305,136
Tristan Thompson,3297,138
Furkan Korkmaz,3294,73
Donte DiVincenzo,3290,95
Larry Nance Jr.,3285,137
Davis Bertans,3284,182
Reggie Jackson,3276,108
Anfernee Simons,3263,94
Keldon Johnson,3235,144
Reggie Bullock,3234,159
Aaron Holiday,3197,135
Matisse Thybulle,3196,110
Mason Plumlee,3179,125
Rudy Gay,3178,122
Tyus Jones,3177,88
Svi Mykhailiuk,3123,71
Lonnie Walker IV,3119,132
Jordan Poole,3117,72
Rui Hachimura,3102,140
Nemanja Bjelica,3083,76
Luke Kennard,3060,110
Taurean Prince,3042,135
Derrick Jones Jr.,3035,137
Derrick Rose,3035,178
Saddiq Bey,3022,97
Brandon Clarke,3014,121
Danuel House Jr.,3008,73
Alex Caruso,2994,126
Mitchell Robinson,2990,110
Cam Reddish,2986,95
Ish Smith,2983,117
Jae'Sean Tate,2982,77
Goran Dragic,2972,117
Josh Okogie,2969,85
Hassan Whiteside,2964,90
Nerlens Noel,2952,115
Enes Freedom,2938,78
Kevin Love,2935,117
LaMarcus Aldridge,2930,152
D.J. Augustin,2926,72
Michael Porter Jr.,2921,160
Wesley Matthews,2918,59
Damion Lee,2917,135
Grayson Allen,2913,88
Austin Rivers,2876,79
De'Andre Hunter,2871,131
Tyrese Haliburton,2870,169
Elfrid Payton,2868,103
Tony Snell,2859,102
Kenrich Williams,2847,119
Isaac Okoro,2844,95
Dwight Howard,2844,100
Grant Williams,2844,98
Shake Milton,2836,98
De'Anthony Melton,2829,108
JaMychal Green,2808,84
Jaren Jackson Jr.,2808,116
Patrick Beverley,2804,90
Khem Birch,2804,63
Malik Monk,2799,121
Georges Niang,2798,47
Ben McLemore,2767,46
Spencer Dinwiddie,2761,170
Chris Boucher,2760,85
DeAndre Jordan,2755,82
Nicolas Batum,2749,84
Dwight Powell,2722,73
George Hill,2706,81
Eric Gordon,2695,81
Solomon Hill,2670,71
Brad Wanamaker,2668,74
Maurice Harkless,2651,65
Hamidou Diallo,2647,101
Serge Ibaka,2646,91
Derrick Favors,2645,88
Terance Mann,2636,80
Raul Neto,2613,116
Kevin Porter Jr.,2612,76
Desmond Bane,2597,90
Troy Brown Jr.,2593,57
Terence Davis,2584,82
Cody Zeller,2577,88
Cody Martin,2576,86
Zion Williamson,2566,128
Paul Millsap,2560,93
Robin Lopez,2548,67
Eric Paschall,2522,85
Markieff Morris,2517,58
Nickeil Alexander-Walker,2496,70
Dwayne Bacon,2482,58
DeAndre' Bembry,2463,73
Kyrie Irving,2455,121
Dario Saric,2451,52
Avery Bradley,2447,78
LaMelo Ball,2420,101
Mo Bamba,2409,37
Sterling Brown,2390,58
Josh Jackson,2378,56
Torrey Craig,2372,73
Naz Reid,2361,77
Jaden McDaniels,2353,89
Trevor Ariza,2351,71
JaVale McGee,2340,23
Jaxson Hayes,2340,50
Jeff Teague,2326,89
Bismack Biyombo,2319,106
Taj Gibson,2305,79
Jeremy Lamb,2298,130
Alex Len,2278,77
James Ennis III,2228,66
JJ Redick,2218,86
Frank Jackson,2209,75
T.J. Warren,2186,134
Kevin Durant,2178,128
Semi Ojeleye,2157,66
Blake Griffin,2155,93
Timothe Luwawu-Cabarrot,2149,87
Trey Lyles,2147,75
Isaiah Stewart,2133,50
Facundo Campazzo,2126,62
Jarrett Culver,2114,40
Langston Galloway,2114,84
Robert Williams III,2105,97
Kevon Looney,2104,48
Markelle Fultz,2104,108
Marc Gasol,2104,51
Daniel Gafford,2103,91
Deni Avdija,2084,66
Willie Cauley-Stein,2083,97
Glenn Robinson III,2083,73
Cole Anthony,2070,50
Wayne Ellington,2059,81
Patrick Williams,2058,50
Andre Iguodala,2033,95
James Johnson,2030,96
Theo Maledon,2012,44
Mike Scott,2011,47
Rajon Rondo,2006,37
Jevon Carter,1988,26
Talen Horton-Tucker,1987,48
Tyrese Maxey,1963,77
Jarred Vanderbilt,1958,60
Rodney Hood,1955,63
Nassir Little,1947,46
Juan Toscano-Anderson,1910,61
Immanuel Quickley,1896,106
Jusuf Nurkic,1895,116
Cameron Payne,1892,28
Gorgui Dieng,1877,47
Frank Ntilikina,1871,55
Aron Baynes,1865,49
Moritz Wagner,1862,36
Garrison Mathews,1859,41
Devin Vassell,1814,44
Jordan McLaughlin,1813,22
Dean Wade,1810,41
Marvin Bagley III,1804,53
Juancho Hernangomez,1779,48
P.J. Dozier,1762,78
Caleb Martin,1740,46
Damian Jones,1737,41
Jalen McDaniels,1732,45
Isaac Bonga,1725,20
Chuma Okeke,1724,38
Damyean Dotson,1719,45
Kenyon Martin Jr.,1716,23
Kevin Knox II,1707,28
Denzel Valentine,1673,54
Isaiah Roby,1656,27
Payton Pritchard,1639,48
Frank Kaminsky,1626,47
Trey Burke,1615,61
Tony Bradley,1612,26
Sekou Doumbouya,1609,30
Justin Jackson,1600,32
Michael Carter-Williams,1585,48
Mike Muscala,1581,56
Aleksej Pokusevski,1575,26
R.J. Hampton,1562,15
Nicolo Melli,1553,55
Javonte Green,1548,37
Wes Iwundu,1543,28
Ty Jerome,1535,19
Victor Oladipo,1530,78
Willy Hernangomez,1528,36
Otto Porter Jr.,1516,78
Dewayne Dedmon,1515,37
Xavier Tillman,1451,49
Drew Eubanks,1446,12
Gabe Vincent,1399,36
Tyler Johnson,1392,39
Keita Bates-Diop,1385,54
Thomas Bryant,1367,51
Ryan Arcidiacono,1358,23
Precious Achiuwa,1357,21
E'Twaun Moore,1356,53
David Nwaba,1345,26
Patrick Patterson,1326,32
Abdel Nader,1320,48
Killian Hayes,1306,35
Marquese Chriss,1299,26
Isaiah Hartenstein,1286,16
Shabazz Napier,1284,61
Gary Clark,1279,20
John Konchar,1277,20
Jerome Robinson,1258,26
Edmond Sumner,1257,51
Dennis Smith Jr.,1256,28
Jake Layman,1254,25
John Wall,1250,38
Stanley Johnson,1249,32
Kris Dunn,1244,70
Franz Wagner,1235,26
Terrance Ferguson,1235,72
Kelan Martin,1225,37
Kira Lewis Jr.,1219,26
Jaylen Nowell,1217,26
Romeo Langford,1210,27
Obi Toppin,1208,29
Rondae Hollis-Jefferson,1194,35
Goga Bitadze,1176,26
Jabari Parker,1173,22
Rodney McGruder,1165,31
Chimezie Metu,1158,15
Max Strus,1147,20
Justise Winslow,1141,38
Malachi Flynn,1134,22
Mychal Mulder,1134,31
Oshae Brissett,1121,30
Nic Claxton,1116,36
Ersan Ilyasova,1108,26
Brandon Goodwin,1095,23
Yuta Watanabe,1092,22
Armoni Brooks,1092,13
Marvin Williams,1090,39
Moses Brown,1086,15
Isaiah Thomas,1067,20
Meyers Leonard,1056,7
Gary Payton II,1055,24
Saben Lee,1042,0
Scottie Barnes,1034,39
Matthew Dellavedova,1012,32
Harry Giles III,998,17
Ky Bowman,995,21
Thanasis Antetokounmpo,992,0
DeMarcus Cousins,984,15
Evan Mobley,974,37
Bruno Fernando,964,0
Anthony Tolliver,956,15
Jonathan Isaac,949,31
Kyle Korver,945,15
Herbert Jones,944,49
Josh Giddey,942,30
Aaron Nesmith,941,22
Amir Coffey,929,33
Alfonzo McKinnie,924,10
Luke Kornet,908,13
Patrick McCaw,908,34
Chris Duarte,905,50
Matt Thomas,886,16
Treveon Graham,882,48
Chandler Hutchison,872,23
Omari Spellman,871,15
Naji Marshall,869,42
Jordan Nwora,868,13
Vince Carter,861,14
Chasson Randle,853,25
Marco Belinelli,847,37
Mario Hezonja,846,25
Emmanuel Mudiay,844,16
Cade Cunningham,844,28
Thon Maker,829,24
Shaquille Harrison,829,11
D.J. Wilson,826,16
James Wiseman,822,14
Davion Mitchell,813,35
Chris Chiozza,811,30
Lamar Stevens,796,9
Rodions Kurucs,795,13
Al-Farouq Aminu,792,23
Jahlil Okafor,790,24
Ian Mahinmi,788,20
JaKarr Sampson,780,7
Jordan McRae,768,17
Boban Marjanovic,766,22
Dylan Windler,744,10
Jalen Green,721,14
Jeremiah Robinson-Earl,716,23
KZ Okpala,712,0
Elie Okobo,711,8
Ed Davis,708,0
Wilson Chandler,705,29
Tre Jones,704,7
Onyeka Okongwu,696,10
Zeke Nnaji,686,9
Josh Green,682,0
Miye Oni,666,0
Quinn Cook,652,14
Allen Crabbe,647,0
Isaiah Joe,642,9
Yogi Ferrell,640,27
Alperen Sengun,635,9
DaQuan Jeffries,629,6
Carsen Edwards,612,14
John Henson,592,8
Dante Exum,587,15
Jalen Suggs,578,0
Tyler Cook,576,9
Tim Frazier,573,18
Skal Labissiere,559,8
Ayo Dosunmu,559,18
Corey Kispert,544,13
Trent Forrest,536,0
Paul Watson,531,0
Justin James,525,18
Troy Daniels,523,8
Admiral Schofield,516,0
Brandon Knight,510,0
Cheick Diallo,507,0
Wenyen Gabriel,501,6
Chris Silva,486,0
Theo Pinson,485,0
Marko Guduric,483,0
Killian Tillie,482,12
Freddie Gillespie,479,0
Vlatko Cancar,479,0
Dzanan Musa,473,15
Josh Christopher,468,0
Cristiano Felicio,454,15
Trey Murphy III,448,0
Nathan Knight,446,0
Ignas Brazdeikis,446,0
J.J. Barea,444,6
Alize Johnson,444,0
Bones Hyland,443,5
Skylar Mays,441,5
Jared Dudley,439,0
Anzejs Pasecniks,434,9
